points,first_name
64,Sigvart
64,Oskar
64,Magnus
64,Johannes
64,Oskar
61,Ask
61,William
60,Marius
60,David
60,John
60,Erik
60,Anna
58,Eirik
58,Ludvig
58,Herman
58,Magnus
58,Tobias
58,Jon
57,Leonard
57,Petter
57,Patrik
57,Ola
56,Bjørnar
56,Jacob
56,Kasper
56,Torstein
56,Odd-Erik
56,Eivind
56,Lars
56,Håkon
56,Håvard
55,Ole
55,Nikolai
54,Håvard
54,Ask
53,Alexander
53,Donny
53,Jakob
53,Nikita
53,Olav
53,Marius
52,Hallstein
52,Emir
52,Anne
52,Mathias
52,Simon
52,Eirik
52,Andre
52,Hans
52,Erlend
52,Dag
52,Daniel
52,Anne
52,Magnus
52,Neethan
52,Birk
52,Oliver
52,Sturla
52,Edvard
52,Tobias
52,Håkon
52,Thomas
52,Tormod
52,Daniel
52,Tjøl
51,Omar
51,Ludvig
51,Erlend
51,Simen
51,Ole
51,Sofus
50,August
50,Marcel
50,Suxiang
50,Andreas
50,Eirik
49,Eskil
49,Sander
49,Håvard
48,Denis
48,Joachim
48,Gabriel
48,Karelis
48,Mathias
48,Linn
48,Agnar
48,Petter
48,Eskil
48,Jon-Magnus
48,Klaus
48,Alex
48,Johannes
48,Erlend
48,Andreas
48,Preben
48,Elias
47,Erik
47,Jonathan
47,Oda
47,Erlend
47,Marcus
47,Wilhelm
47,Truls
