points,first_name
43.0,Eirik
43.0,Eivind
43.0,Marte
43.0,Odd-Erik
43.0,Danielle
43.0,Sondre
43.0,Magnus
43.0,Martin
43.0,Lisa
43.0,Vetle
43.0,Olav
43.0,Albert
43.0,Jonas
43.0,Erik
43.0,Martin
43.0,Lise
43.0,Vilde
43.0,N.N.
43.0,Emma
43.0,Live
43.0,Oscar
43.0,Simon
43.0,Sverre
43.0,Balder
43.0,Gard
43.0,Øystein
43.0,Steffen
43.0,Pia
43.0,Eivind
43.0,Mikael
43.0,Morten
43.0,N.N.
43.0,Sassan
