points,first_name
64,Sondre
61,Eric
61,Håkon
61,Kari
61,Nina
60,Fredrik
60,Ingerid
58,Mikkel
58,Odd
58,Vemund
57,Eirik
57,Fredrik
57,Nils
57,Ole
57,Paul
57,Truls
56,Jonas
56,Magnus
56,Terje
55,Jonas
54,Asbjørn
54,Sebastian
54,Sindre
54,Thorbjørn
53,Einar
53,Eirik
53,Grzegors
53,Hans-Wilhelm
53,Joakim
53,Jørgen
53,Magnus
53,Markus
53,Sivert
52,Anders
52,Andreas
52,Åsgeir
52,Markus
52,Martin
52,Sigve
52,Tarald
52,Tobias
52,Viljar
51,Joakim
51,Kristian
51,Stian
50,Anja
50,Axel
50,Benedict
50,Bent
50,Henry
50,Mathias
50,Nikolas
50,Rishi
50,William
49,Audun
49,Jørgen
49,Øyvind
49,Sigurd
48,Anders
48,Andrea
48,Bjørn
48,Håvard
48,Jørgen
48,Lars
48,Nicolai
48,Nils
48,Trym
47,Alise
47,Cathrine
47,Marius
47,Ole
47,Trond
46,Daniel
46,Eirik
46,Erlend
46,Johannes
46,Magnus
46,Mats
46,Torgeir
46,Vebjørn
45,Arne
45,Erlend
45,Gustav
45,Jens
45,Joachim
45,Kim
45,Maria
45,Tommy
44,Anne
44,Beate
44,Camilla
44,Christian
44,Eirik
44,Eirik
44,Erik
44,Issa
44,Joakim
44,Joakim
44,Petter
44,Sivert
