points,first_name
100.0,Donny
100.0,Bjørnar
96.0,Thomas
95.0,Andreas
95.0,Amund
95.0,Sigvart
95.0,Anna
95.0,Luca
95.0,Philip
92.0,Leonard
91.0,Erik
91.0,Jon-Magnus
90.0,Magnus
90.0,Fredrik
90.0,Ole
87.0,Ahmed
87.0,Morten
86.0,Tobias
86.0,Håvard
86.0,Ulrik
86.0,Espen
85.0,Martin
85.0,Olav
85.0,Aleksander
83.0,Jostein
82.0,Johannes
82.0,Henrik
82.0,Espen
81.0,Sondre
81.0,David
81.0,Erik
81.0,Jon
80.0,Lavrans
80.0,Andreas
80.0,Leo
79.0,Odin
79.0,Jenny
78.0,Trym
77.0,N.N.
77.0,Torje
77.0,Kristine
77.0,Sindre
77.0,Birk
77.0,Marcel
76.0,Endre
76.0,Benjamin
76.0,Egil
76.0,Eskil
76.0,Magnus
75.0,Jonas
75.0,Martin
75.0,Tord
75.0,Kenny
75.0,Kexing
74.0,Jørgen
74.0,Eivind
74.0,Erik
74.0,Mathilde
74.0,Torstein
73.0,Sigurd
73.0,Karl
73.0,Andreas
73.0,Nils
72.0,Martin
72.0,Torjei
72.0,William
72.0,Amund
72.0,Trygve
72.0,Ferdinand
71.0,Anna
71.0,Aslak
71.0,Bendik
70.0,Håvard
70.0,Audin
70.0,Edvard
70.0,Bernt
70.0,Vemund
70.0,Luea
70.0,Øystein
70.0,Simon
70.0,Hedvig
69.0,Christian
69.0,Jason
69.0,Shinthujan
68.0,Ayca
68.0,Elias
68.0,Jostein
68.0,Hans
68.0,Oskar
68.0,Espen
68.0,Andreas
68.0,Eirik
68.0,Anton
67.0,Jesper
67.0,Yash
67.0,Peder
67.0,Christoﬀer
67.0,Emil
67.0,N.N.
67.0,Mille
67.0,Sigbjørn
66.0,Ece
66.0,Elias
66.0,Muyesser
65.0,Erlend
65.0,Bendik
65.0,Marius
65.0,Andreas
65.0,Tobias
65.0,Nima
65.0,Nils
65.0,Signe
65.0,Tord
65.0,Eivind
65.0,Simen
65.0,Asbjørn
65.0,Rasmus
65.0,Jon
65.0,Anne
65.0,Åsmund
65.0,Mel
65.0,Boye
65.0,Håvard
65.0,Gaston
65.0,Sondre
64.0,Benjamin
64.0,Oskar
64.0,Magnus
64.0,Viktor
64.0,Benjamin
64.0,Frida
64.0,Knut
64.0,Arthur
64.0,Johan
64.0,Kristoﬀer
64.0,Filip
63.0,Rasmus
63.0,Ine
63.0,Marcus
63.0,N.N.
62.0,Magnus
62.0,Hans
62.0,Linus
62.0,Martin
62.0,Alexander
62.0,Anna
61.0,Stian
61.0,Engebret
61.0,Derin
61.0,Lars
61.0,Lavrans
61.0,Ulrik
61.0,Kristian
61.0,Viljar
61.0,Johan
61.0,Peter
61.0,Jonar
61.0,Lucas
61.0,Vidar
61.0,Ahmad
