points,first_name
64,Thomas
64,Herman
60,Stein
60,Sindre
60,Fredrik
60,Sarek
60,Sindre
60,Fridtjof
58,Ole
58,Henning
58,Mathias
58,Ola
57,Morten
57,Luna
56,Erling
56,Tobias
56,Herman
55,August
55,Marcel
55,Oda
54,Ingebrigt
53,Dmitry
53,Niklas
53,Jonas
52,Daniel
52,Axel
52,Håvard
52,Sivert
52,Karl
52,Herman
52,Christer
51,Marlene
51,Olav
50,Alexander
50,Martine
50,Wilhelm
50,Thomas
49,Eivind
49,Aleksander
49,Johannes
49,Birk
48,Christian
48,André
48,Tristan
48,Neethan
48,Thomas
48,Joakim
48,Vegard
48,Jens
47,Andreas
47,Oliver
47,Magomed
47,Nikolai
47,Martin
46,Marcel
46,Eivind
46,Didrik
46,Jonas
46,Magnus
46,William
45,Thomas
45,Erik
45,Terje
45,Sindre
45,Aurora
45,Øyvind
44,Stian
44,Herman
44,Preben
44,Alexander
44,Aleksander
44,Philip
44,Sebastian
43,Andreas
43,Jakob
43,Magnus
42,Even
42,Lars
41,Jørgen
41,Martin
41,Sindre
41,Silje
41,Kavusikan
41,Henrik
41,Sigur
41,Ingebrigt
40,Martin
40,Kristian
40,Theodor
40,Dag
40,Reidar
40,Per
40,Harald
40,Edvard
40,Sondre
40,Tjøl
40,Karl
40,Tor
40,Thomas
