points,first_name
25.0,Ludvik
25.0,Daniel
25.0,Marvin
25.0,Fredrik
23.0,Erik
23.0,Magnus
23.0,Jonas
23.0,Jon
22.0,Eivind
22.0,Steffen
22.0,Vladmir
22.0,Ferdinand
22.0,Aksel
22.0,Hans
22.0,Bruno
22.0,Herman
22.0,Guro
22.0,Kristian
22.0,Andrers
22.0,Torbjørn
22.0,Grigory
22.0,Dario
22.0,Vegard
22.0,Bendik
22.0,Halvor
22.0,Fridtjof
21.5,Erlend
21.5,Jacob
21.0,Sindre
21.0,Magnus
21.0,Jørgen
21.0,Christine
21.0,Jon
21.0,Tor-Haakon
21.0,Nikita
21.0,Angela
20.5,Ulf
20.5,Chriswin
20.5,Nikoline
20.5,Sindre
20.0,Morten
20.0,Thomas
20.0,Axel
20.0,Herman
20.0,Johanna
20.0,Tobias
20.0,Trym
20.0,Silje
20.0,Oskar
20.0,Sondre
20.0,Eilif
20.0,Sigurd
19.0,Tord
19.0,Daniel
19.0,Jonathan
19.0,Adrian
19.0,Thomas
19.0,Sigurd
19.0,Kornelius
19.0,Joscha
19.0,Christian
19.0,Simen
19.0,Weronika
19.0,Kristoffer
19.0,Filip
19.0,Doris
19.0,Marius
19.0,Odin
19.0,Jørgen
19.0,Eivind
19.0,Eivind
19.0,Aleksander
19.0,Ulrik
19.0,Steinar
19.0,Bjørn
19.0,Morten
19.0,Einar
19.0,Sjur
19.0,Fridtjof
18.0,Daniel
18.0,John
18.0,Eirik
18.0,Henning
18.0,Lars
18.0,Maria
18.0,Anja
18.0,Sarankan
18.0,Ole
18.0,Sigurd
18.0,Stian
18.0,Didrik
18.0,Julie
18.0,Tinus
18.0,Einar
18.0,Jakob
18.0,Lars
18.0,Jon
17.0,Hilde
17.0,Alexander
17.0,Torbjørn
17.0,Ruben
17.0,Eirik
17.0,Sindre
17.0,Svein
17.0,Andreas
17.0,Thale
17.0,Martine
17.0,Kevin
17.0,Fredrik
17.0,Jens
17.0,Weicheng
17.0,Henrik
17.0,Simon
17.0,Olav
17.0,Nicole
17.0,Daniel
17.0,Vegar
17.0,Magnus
17.0,Jacob
17.0,Ingvar
17.0,Maria
17.0,Anastasia
17.0,Haldis
17.0,Jan
17.0,Leif
