points,first_name
10.0,Bjørn
10.0,Martin
10.0,Thomas
10.0,Henrik
10.0,Sigurd
10.0,Nickolas
10.0,Bjørn
10.0,Erik
10.0,Johanne
10.0,Willy
10.0,Aleksander
10.0,Vebjørn
10.0,Eirin
10.0,Vegard
10.0,Håkon
10.0,Brynjar
10.0,Johann
10.0,Viktoria
10.0,Bjørnar
10.0,Vemund
10.0,Morten
10.0,Sindre
10.0,Jon
10.0,Kristoffer
10.0,William
10.0,Adrian
10.0,Vår
10.0,Snorre
10.0,Tina
10.0,Vemund
10.0,Eirik
10.0,Kim
10.0,Marie
10.0,Axel
10.0,Erik
10.0,Gunnar
10.0,Thomas
10.0,Preben
10.0,Erik
10.0,Bent
10.0,Yuyang
10.0,Ådne
10.0,Eivind
10.0,Jonas
10.0,Carl
10.0,Jens
