points,first_name
88,Mina
88,Magnus
83,Erlend
78,Paul
77,Ingrid
75,Xiaotian
74,Gard
73,Marianna
73,Håkon
72,Martin
72,Tuva
71,Henrik
71,Sondre
70,Vegard
69,Sveinung
69,Petter
68,Thorstein
68,David
66,Eirik
66,Eivind
66,Eirik
66,Asgeir
66,Lars
65,Johan
65,Marthe
65,Nils
64,Fredrik
64,Ingerid
64,Cecilie
64,Pål
63,Jens
63,Daniel
63,Åshild
63,Jørgen
62,Sindre
61,Guri
61,Håvard
61,Fanny
60,Jørgen
60,Ingeborg
60,Thea
60,Arnstein
60,Jakob
59,Bjørn
58,Athithiy
58,Sondre
58,Hallvard
58,Fredrik
58,Daniel
58,Magnus
58,Arnoldas
58,Ove-Andre
