points,first_name
61,Marvin
61,Fridtjof
60,Aleksander
60,Johan
60,Håkon
56,Valentin
54,Kari
53,Benjamin
53,Mikchal
52,Håvard
52,Daniel
52,Birk
52,Earan
50,Øyvind
49,Philip
49,Mathias
48,Eivind
48,Sindre
48,Haakon
48,Mathias
48,Konrad
48,Neethan
48,Håvard
47,Mathias
47,Jørgen
47,Halvor
47,Embla
47,Thomas
46,Jeremi
46,Steffen
46,Robert
46,Amund
45,Ingebrigt
45,Simen
45,Håvard
44,Håkon
44,Mikael
44,Anders
44,Rein
44,Alexander
44,Sigurd
44,Eivind
44,Joachim
44,Anders
44,Brage
44,Kristiane
44,Morten
44,Erik
44,Torgeir
44,Eivind
44,Erling
43,Aleksander
43,Pål
43,Espen
43,Kim
43,Johannes
43,Isak
43,Fredrik
42,Thomas
42,Ola
42,Karl
42,Simon
42,Jon
42,Markus
41,Lars
41,Kristoffer
41,Morten
41,Johanne
41,Aksel
40,Sander
40,Jonas
40,Jørgen
40,Jake
40,Petter
40,Jacob
40,Erlend
40,Tord
40,Daniel
40,Petter
40,Jakob
40,August
40,Guro
40,Edvard
40,Sander
39,Kasper
39,William
39,Jakob
39,Tolga
39,Henning
39,Eirik
38,Truc
38,Georg
38,Vemund
37,Ola
37,Lars
37,Stian
37,Sondre
37,Lars
37,Brede
37,Fredrik
37,Herman
