points,first_name
64,Fredrik
64,Johan
61,Kari
61,Håkon
61,Mikael
61,Grzegorz
60,Fredrik
60,Håkon
60,Eivind
60,Arne
58,Eivind
58,Jakob
58,Karl
58,Øyvind
58,Christian
57,Mogens
57,Ole
57,Mathias
57,Johannes
57,Eivind
57,Sivert
56,Jonas
56,Bernt
54,Eivind
54,Magnus
54,Odd
54,Tonje
54,Ingrid
54,Magnus
53,Terje
53,Thomas
52,Bendik
52,Martin
52,Trond
52,Morten
52,Michael
51,Tommy
51,Magne
51,Peter
51,Luca
51,Jonas
50,Sindre
50,Torstein
50,Sebastian
50,Sverre
50,Guro
50,Anna
50,Eric
50,Mathias
50,Andreas
49,Even
49,Eirik
49,Bendik
49,Marcus
48,Vincent
48,Sigurd
48,Åsgeir
48,Marcus
48,Brede
48,Eirik
47,Kristoffer
47,Eirik
47,Geir
47,Aslak
47,Jonathan
47,Randulf
47,Jodans
47,David
47,Simen
46,Jørgen
46,Nina
46,Teodor
46,Nikolai
45,Erlend
45,Eirik
45,Emil
44,Fredrik
44,Petter
44,Kjetil
44,Rasmus
44,Ole
44,Håvard
43,Per
43,Gaute
43,Peter
43,Eivind
43,Marius
42,Sander
42,Ole
42,Eivind
42,Henning
42,Erlend
42,Bendik
42,Johan
42,Christopher
41,Ørjan
41,Ole
41,Marius
41,Asbjørn
41,Herman
41,Irina
41,Jens
