points,first_name
84,Henrik
84,Simen
84,Martin
84,Øystein
80,Kristian
80,Karl
80,Kristian
76,Peder
76,Aasmund
76,Steinar
76,Eirik
76,Said
76,Mikal
76,Andreas
76,Peter
76,Caspar
76,Audun
72,Lasse
72,Johan
72,Ingrid
72,Solveig
72,Nanna
72,Vebjørn
72,Caroline
72,Vemund
72,Frida
72,Halvard
72,Sigurd
72,Aleksander
72,Jens
72,Hanne
68,Maria
68,Jögvan
68,Julie
68,Sander
68,Håkon
68,Håkon
68,Fredrik
68,Aurora
68,Carmen
68,Mikael
68,Vetle
68,Preben
68,Julie
64,Alexander
64,Aleksander
64,Synne
64,Janne
64,Shahzeb
64,Martin
64,Guangcheng
64,Campo
64,Henning
64,Henrik
64,Adomas
64,Pan
64,Sanne
64,Paulius
64,Lars
64,Edda
64,Hannah
64,Gunnar
64,Zixuan
